	Top N Predictions	True Positives	Precision	comparison	thresholds	dataset	data_configuration
15	325	67	0.20615384615384616	$\alpha$=0.05	100.0	data_3	5_sources
0	1	0	0.0	$\alpha$=0.05 (BH-adj)	0.5	data_3	5_sources
1	2	0	0.0	$\alpha$=0.05 (BH-adj)	1.0	data_3	5_sources
2	5	0	0.0	$\alpha$=0.05 (BH-adj)	2.0	data_3	5_sources
3	8	1	0.125	$\alpha$=0.05 (BH-adj)	3.0	data_3	5_sources
4	10	2	0.2	$\alpha$=0.05 (BH-adj)	4.0	data_3	5_sources
5	13	3	0.23076923076923078	$\alpha$=0.05 (BH-adj)	5.0	data_3	5_sources
6	16	4	0.25	$\alpha$=0.05 (BH-adj)	6.0	data_3	5_sources
7	19	4	0.21052631578947367	$\alpha$=0.05 (BH-adj)	7.0	data_3	5_sources
8	21	4	0.19047619047619047	$\alpha$=0.05 (BH-adj)	8.0	data_3	5_sources
9	24	6	0.25	$\alpha$=0.05 (BH-adj)	9.0	data_3	5_sources
10	27	7	0.25925925925925924	$\alpha$=0.05 (BH-adj)	10.0	data_3	5_sources
11	40	10	0.25	$\alpha$=0.05 (BH-adj)	15.0	data_3	5_sources
12	54	14	0.25925925925925924	$\alpha$=0.05 (BH-adj)	20.0	data_3	5_sources
13	136	38	0.27941176470588236	$\alpha$=0.05 (BH-adj)	50.0	data_3	5_sources
14	204	53	0.25980392156862747	$\alpha$=0.05 (BH-adj)	75.0	data_3	5_sources
15	273	59	0.21611721611721613	$\alpha$=0.05 (BH-adj)	100.0	data_3	5_sources
0	2	0	0.0	unfiltered	0.5	data_3	5_sources
1	5	0	0.0	unfiltered	1.0	data_3	5_sources
2	10	2	0.2	unfiltered	2.0	data_3	5_sources
3	16	4	0.25	unfiltered	3.0	data_3	5_sources
4	21	4	0.19047619047619047	unfiltered	4.0	data_3	5_sources
5	27	7	0.25925925925925924	unfiltered	5.0	data_3	5_sources
6	32	9	0.28125	unfiltered	6.0	data_3	5_sources
7	38	10	0.2631578947368421	unfiltered	7.0	data_3	5_sources
8	43	11	0.2558139534883721	unfiltered	8.0	data_3	5_sources
9	49	14	0.2857142857142857	unfiltered	9.0	data_3	5_sources
10	54	14	0.25925925925925924	unfiltered	10.0	data_3	5_sources
11	81	23	0.2839506172839506	unfiltered	15.0	data_3	5_sources
12	109	30	0.27522935779816515	unfiltered	20.0	data_3	5_sources
13	272	59	0.21691176470588236	unfiltered	50.0	data_3	5_sources
14	408	79	0.19362745098039216	unfiltered	75.0	data_3	5_sources
15	545	94	0.1724770642201835	unfiltered	100.0	data_3	5_sources
0	1	0	0.0	$\alpha$=0.05	0.5	data_4	5_sources
1	3	0	0.0	$\alpha$=0.05	1.0	data_4	5_sources
2	7	1	0.14285714285714285	$\alpha$=0.05	2.0	data_4	5_sources
3	11	2	0.18181818181818182	$\alpha$=0.05	3.0	data_4	5_sources
4	15	5	0.3333333333333333	$\alpha$=0.05	4.0	data_4	5_sources
5	19	7	0.3684210526315789	$\alpha$=0.05	5.0	data_4	5_sources
6	23	10	0.43478260869565216	$\alpha$=0.05	6.0	data_4	5_sources
7	27	11	0.4074074074074074	$\alpha$=0.05	7.0	data_4	5_sources
8	31	12	0.3870967741935484	$\alpha$=0.05	8.0	data_4	5_sources
9	35	13	0.37142857142857144	$\alpha$=0.05	9.0	data_4	5_sources
10	39	13	0.3333333333333333	$\alpha$=0.05	10.0	data_4	5_sources
11	59	24	0.4067796610169492	$\alpha$=0.05	15.0	data_4	5_sources
12	79	29	0.3670886075949367	$\alpha$=0.05	20.0	data_4	5_sources
13	197	59	0.29949238578680204	$\alpha$=0.05	50.0	data_4	5_sources
14	296	72	0.24324324324324326	$\alpha$=0.05	75.0	data_4	5_sources
15	395	86	0.21772151898734177	$\alpha$=0.05	100.0	data_4	5_sources
0	1	0	0.0	$\alpha$=0.05 (BH-adj)	0.5	data_4	5_sources
1	3	0	0.0	$\alpha$=0.05 (BH-adj)	1.0	data_4	5_sources
2	7	1	0.14285714285714285	$\alpha$=0.05 (BH-adj)	2.0	data_4	5_sources
3	11	2	0.18181818181818182	$\alpha$=0.05 (BH-adj)	3.0	data_4	5_sources
4	14	4	0.2857142857142857	$\alpha$=0.05 (BH-adj)	4.0	data_4	5_sources
5	18	6	0.3333333333333333	$\alpha$=0.05 (BH-adj)	5.0	data_4	5_sources
6	22	9	0.4090909090909091	$\alpha$=0.05 (BH-adj)	6.0	data_4	5_sources
7	25	10	0.4	$\alpha$=0.05 (BH-adj)	7.0	data_4	5_sources
8	29	11	0.3793103448275862	$\alpha$=0.05 (BH-adj)	8.0	data_4	5_sources
9	33	13	0.3939393939393939	$\alpha$=0.05 (BH-adj)	9.0	data_4	5_sources
10	36	13	0.3611111111111111	$\alpha$=0.05 (BH-adj)	10.0	data_4	5_sources
11	55	21	0.38181818181818183	$\alpha$=0.05 (BH-adj)	15.0	data_4	5_sources
12	73	29	0.3972602739726027	$\alpha$=0.05 (BH-adj)	20.0	data_4	5_sources
13	184	56	0.30434782608695654	$\alpha$=0.05 (BH-adj)	50.0	data_4	5_sources
14	276	69	0.25	$\alpha$=0.05 (BH-adj)	75.0	data_4	5_sources
15	369	82	0.2222222222222222	$\alpha$=0.05 (BH-adj)	100.0	data_4	5_sources
0	2	0	0.0	unfiltered	0.5	data_4	5_sources
1	5	0	0.0	unfiltered	1.0	data_4	5_sources
2	11	2	0.18181818181818182	unfiltered	2.0	data_4	5_sources
3	17	6	0.35294117647058826	unfiltered	3.0	data_4	5_sources
4	23	10	0.43478260869565216	unfiltered	4.0	data_4	5_sources
5	29	11	0.3793103448275862	unfiltered	5.0	data_4	5_sources
6	35	13	0.37142857142857144	unfiltered	6.0	data_4	5_sources
7	41	13	0.3170731707317073	unfiltered	7.0	data_4	5_sources
8	47	17	0.3617021276595745	unfiltered	8.0	data_4	5_sources
9	53	19	0.3584905660377358	unfiltered	9.0	data_4	5_sources
10	59	24	0.4067796610169492	unfiltered	10.0	data_4	5_sources
11	89	31	0.34831460674157305	unfiltered	15.0	data_4	5_sources
12	119	39	0.3277310924369748	unfiltered	20.0	data_4	5_sources
13	297	72	0.24242424242424243	unfiltered	50.0	data_4	5_sources
14	446	93	0.2085201793721973	unfiltered	75.0	data_4	5_sources
15	595	111	0.1865546218487395	unfiltered	100.0	data_4	5_sources
0	2	0	0.0	$\alpha$=0.05	0.5	data_5	5_sources
1	5	1	0.2	$\alpha$=0.05	1.0	data_5	5_sources
2	10	1	0.1	$\alpha$=0.05	2.0	data_5	5_sources
3	15	2	0.13333333333333333	$\alpha$=0.05	3.0	data_5	5_sources
4	20	4	0.2	$\alpha$=0.05	4.0	data_5	5_sources
5	25	7	0.28	$\alpha$=0.05	5.0	data_5	5_sources
6	30	9	0.3	$\alpha$=0.05	6.0	data_5	5_sources
7	36	11	0.3055555555555556	$\alpha$=0.05	7.0	data_5	5_sources
8	41	13	0.3170731707317073	$\alpha$=0.05	8.0	data_5	5_sources
9	46	15	0.32608695652173914	$\alpha$=0.05	9.0	data_5	5_sources
10	51	17	0.3333333333333333	$\alpha$=0.05	10.0	data_5	5_sources
11	77	23	0.2987012987012987	$\alpha$=0.05	15.0	data_5	5_sources
12	103	30	0.2912621359223301	$\alpha$=0.05	20.0	data_5	5_sources
13	257	60	0.23346303501945526	$\alpha$=0.05	50.0	data_5	5_sources
14	386	84	0.21761658031088082	$\alpha$=0.05	75.0	data_5	5_sources
15	515	104	0.20194174757281552	$\alpha$=0.05	100.0	data_5	5_sources
0	2	0	0.0	$\alpha$=0.05 (BH-adj)	0.5	data_5	5_sources
